万得代码,交易所代码,自然日,时间,成交价,成交量,成交额,成交笔数,IOPV,成交标志,BS标志,当日累计成交量,当日成交额,最高价,最低价,开盘价,前收盘,申卖价1,申卖价2,申卖价3,申卖价4,申卖价5,申卖价6,申卖价7,申卖价8,申卖价9,申卖价10,申卖量1,申卖量2,申卖量3,申卖量4,申卖量5,申卖量6,申卖量7,申卖量8,申卖量9,申卖量10,申买价1,申买价2,申买价3,申买价4,申买价5,申买价6,申买价7,申买价8,申买价9,申买价10,申买量1,申买量2,申买量3,申买量4,申买量5,申买量6,申买量7,申买量8,申买量9,申买量10,加权平均叫卖价,加权平均叫买价,叫卖总量,叫买总量,不加权指数,品种总数,上涨品种数,下跌品种数,持平品种数,
300059.SZ,300059,20241009,91500000,0,0,0,0,0,,,0,0,0,0,0,243600,291700,0,0,0,0,0,0,0,0,0,11333400,84002,0,0,0,0,0,0,0,0,291700,0,0,0,0,0,0,0,0,0,11333400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300059.SZ,300059,20241009,91500000,0,0,0,0,0,,,0,0,0,0,0,243600,291700,0,0,0,0,0,0,0,0,0,11333400,84002,0,0,0,0,0,0,0,0,291700,0,0,0,0,0,0,0,0,0,11333400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300059.SZ,300059,20241009,91509000,0,0,0,0,0,,,0,0,0,0,0,243600,289000,0,0,0,0,0,0,0,0,0,15718000,15654,0,0,0,0,0,0,0,0,289000,0,0,0,0,0,0,0,0,0,15718000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300059.SZ,300059,20241009,91518000,0,0,0,0,0,,,0,0,0,0,0,243600,288600,0,0,0,0,0,0,0,0,0,15426300,115801,0,0,0,0,0,0,0,0,288600,0,0,0,0,0,0,0,0,0,15426300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300059.SZ,300059,20241009,91527000,0,0,0,0,0,,,0,0,0,0,0,243600,288600,0,0,0,0,0,0,0,0,0,15491500,458985,0,0,0,0,0,0,0,0,288600,0,0,0,0,0,0,0,0,0,15491500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300059.SZ,300059,20241009,91536000,0,0,0,0,0,,,0,0,0,0,0,243600,287700,0,0,0,0,0,0,0,0,0,15166600,780,0,0,0,0,0,0,0,0,287700,0,0,0,0,0,0,0,0,0,15166600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300059.SZ,300059,20241009,91545000,0,0,0,0,0,,,0,0,0,0,0,243600,287600,0,0,0,0,0,0,0,0,0,15318500,27320,0,0,0,0,0,0,0,0,287600,0,0,0,0,0,0,0,0,0,15318500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300059.SZ,300059,20241009,91554000,0,0,0,0,0,,,0,0,0,0,0,243600,287400,0,0,0,0,0,0,0,0,0,15536800,30324,0,0,0,0,0,0,0,0,287400,0,0,0,0,0,0,0,0,0,15536800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300059.SZ,300059,20241009,91603000,0,0,0,0,0,,,0,0,0,0,0,243600,286000,0,0,0,0,0,0,0,0,0,15551900,83326,0,0,0,0,0,0,0,0,286000,0,0,0,0,0,0,0,0,0,15551900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300059.SZ,300059,20241009,91612000,0,0,0,0,0,,,0,0,0,0,0,243600,284100,0,0,0,0,0,0,0,0,0,15727300,2742,0,0,0,0,0,0,0,0,284100,0,0,0,0,0,0,0,0,0,15727300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300059.SZ,300059,20241009,91621000,0,0,0,0,0,,,0,0,0,0,0,243600,284100,0,0,0,0,0,0,0,0,0,16146100,258891,0,0,0,0,0,0,0,0,284100,0,0,0,0,0,0,0,0,0,16146100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300059.SZ,300059,20241009,91630000,0,0,0,0,0,,,0,0,0,0,0,243600,283000,0,0,0,0,0,0,0,0,0,16382400,104215,0,0,0,0,0,0,0,0,283000,0,0,0,0,0,0,0,0,0,16382400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300059.SZ,300059,20241009,91639000,0,0,0,0,0,,,0,0,0,0,0,243600,280000,0,0,0,0,0,0,0,0,0,16753300,152039,0,0,0,0,0,0,0,0,280000,0,0,0,0,0,0,0,0,0,16753300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300059.SZ,300059,20241009,91648000,0,0,0,0,0,,,0,0,0,0,0,243600,280000,0,0,0,0,0,0,0,0,0,16731900,1406262,0,0,0,0,0,0,0,0,280000,0,0,0,0,0,0,0,0,0,16731900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300059.SZ,300059,20241009,91657000,0,0,0,0,0,,,0,0,0,0,0,243600,280000,0,0,0,0,0,0,0,0,0,16646000,3854924,0,0,0,0,0,0,0,0,280000,0,0,0,0,0,0,0,0,0,16646000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300059.SZ,300059,20241009,91706000,0,0,0,0,0,,,0,0,0,0,0,243600,280000,0,0,0,0,0,0,0,0,0,16859500,6023115,0,0,0,0,0,0,0,0,280000,0,0,0,0,0,0,0,0,0,16859500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300059.SZ,300059,20241009,91715000,0,0,0,0,0,,,0,0,0,0,0,243600,279900,0,0,0,0,0,0,0,0,0,16895900,361152,0,0,0,0,0,0,0,0,279900,0,0,0,0,0,0,0,0,0,16895900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300059.SZ,300059,20241009,91724000,0,0,0,0,0,,,0,0,0,0,0,243600,279900,0,0,0,0,0,0,0,0,0,17072500,1209413,0,0,0,0,0,0,0,0,279900,0,0,0,0,0,0,0,0,0,17072500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300059.SZ,300059,20241009,91733000,0,0,0,0,0,,,0,0,0,0,0,243600,279700,0,0,0,0,0,0,0,0,0,16980400,3271,0,0,0,0,0,0,0,0,279700,0,0,0,0,0,0,0,0,0,16980400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300059.SZ,300059,20241009,91742000,0,0,0,0,0,,,0,0,0,0,0,243600,279400,0,0,0,0,0,0,0,0,0,17283300,44074,0,0,0,0,0,0,0,0,279400,0,0,0,0,0,0,0,0,0,17283300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
