ts_code,up_count,break_count,down_count,max_limit_times,up_trade_dates
002229,55,11,15,5,"['20250430', '20250429', '20250428', '20250425', '20250410', '20250210', '20250107', '20241206', '20241108', '20241025', '20241024', '20241022', '20241008', '20240930', '20240903', '20240618', '20240514', '20240314', '20240226', '20240220', '20240219', '20240125', '20231107', '20230915', '20230822', '20230821', '20230815', '20230814', '20230802', '20230731', '20230725', '20230724', '20230607', '20230605', '20230531', '20230530', '20230529', '20230526', '20230525', '20230508', '20230504', '20230426', '20230425', '20230424', '20230324', '20230323', '20230322', '20230222', '20230215', '20230213', '20230210', '20230209', '20230208', '20230207', '20230130']"
002693,51,8,21,14,"['20250424', '20250417', '20250416', '20250415', '20250414', '20250410', '20250213', '20250210', '20250102', '20241121', '20241120', '20241119', '20241108', '20241028', '20241025', '20241024', '20241022', '20241021', '20241018', '20241017', '20241016', '20241015', '20241014', '20241009', '20241008', '20240930', '20240927', '20240926', '20240925', '20240924', '20240923', '20240920', '20240919', '20240918', '20240913', '20240912', '20240911', '20240812', '20240802', '20240513', '20240508', '20240304', '20240220', '20231208', '20231130', '20231108', '20230918', '20230915', '20230808', '20230803', '20230103']"
002717,46,11,17,6,"['20250415', '20250217', '20250213', '20250114', '20250108', '20250107', '20241220', '20241219', '20241213', '20241205', '20241204', '20241203', '20241202', '20241127', '20241118', '20241115', '20241107', '20241031', '20241030', '20241029', '20241028', '20241025', '20241024', '20241022', '20240926', '20240925', '20240923', '20240919', '20240913', '20240912', '20240906', '20240902', '20240820', '20240819', '20240809', '20240805', '20240801', '20240703', '20240702', '20240625', '20230613', '20230328', '20230203', '20230201', '20230111', '20230110']"
000536,44,6,7,10,"['20250306', '20250225', '20250207', '20241203', '20241119', '20241107', '20241106', '20241105', '20241104', '20241101', '20241031', '20241030', '20241029', '20241028', '20241025', '20241008', '20240930', '20240913', '20240912', '20240911', '20240910', '20240909', '20240816', '20240814', '20240809', '20240222', '20231226', '20231123', '20231114', '20231009', '20230928', '20230927', '20230926', '20230919', '20230913', '20230912', '20230908', '20230907', '20230906', '20230905', '20230904', '20230831', '20230215', '20230210']"
603721,43,19,19,5,"['20250221', '20241220', '20241205', '20241127', '20241111', '20241025', '20241022', '20241017', '20240731', '20240626', '20240411', '20240327', '20240322', '20240321', '20240320', '20240313', '20240305', '20240304', '20240220', '20240219', '20240131', '20240130', '20240125', '20231219', '20231218', '20231215', '20231207', '20231205', '20231204', '20231201', '20231130', '20231128', '20231124', '20231122', '20231121', '20231106', '20231031', '20231030', '20230628', '20230605', '20230511', '20230210', '20230103']"
002861,42,9,16,5,"['20250430', '20250428', '20250414', '20250325', '20250324', '20250220', '20250207', '20250124', '20250122', '20250121', '20250120', '20250117', '20250116', '20241230', '20241226', '20241218', '20241216', '20241211', '20240910', '20240830', '20240828', '20240815', '20240814', '20240716', '20240709', '20240701', '20240628', '20240627', '20240626', '20240613', '20240612', '20240607', '20240409', '20240325', '20240319', '20240318', '20240222', '20231211', '20231123', '20230905', '20230904', '20230829']"
002713,42,10,12,4,"['20250321', '20250320', '20250319', '20250310', '20250109', '20250103', '20241219', '20241206', '20241205', '20241203', '20241202', '20241121', '20241118', '20241106', '20241028', '20241025', '20241024', '20241022', '20241021', '20241015', '20240830', '20240821', '20240819', '20240814', '20240805', '20240723', '20240705', '20240704', '20240703', '20240702', '20240531', '20240229', '20240228', '20230601', '20230428', '20230222', '20230221', '20230220', '20230208', '20230201', '20230130', '20230110']"
603106,41,14,8,8,"['20250114', '20250113', '20250107', '20241030', '20241028', '20241025', '20241024', '20241022', '20241016', '20241009', '20241008', '20240930', '20240927', '20240926', '20240925', '20240924', '20240923', '20240731', '20240722', '20240702', '20240318', '20240315', '20240219', '20231228', '20231227', '20231219', '20231215', '20231211', '20231205', '20231204', '20230825', '20230824', '20230815', '20230810', '20230809', '20230808', '20230807', '20230804', '20230202', '20230119', '20230103']"
002272,41,8,11,9,"['20250506', '20250430', '20250414', '20250327', '20250221', '20250220', '20250212', '20241224', '20241219', '20241121', '20241031', '20241030', '20241028', '20241025', '20241024', '20241023', '20241022', '20241021', '20241018', '20241017', '20241016', '20241014', '20240930', '20240826', '20240814', '20240724', '20240719', '20240524', '20240417', '20240311', '20240307', '20240306', '20240305', '20240304', '20240219', '20240208', '20230616', '20230609', '20230522', '20230208', '20230109']"
603958,41,10,16,7,"['20250429', '20250401', '20250312', '20250311', '20250305', '20250228', '20250210', '20241230', '20241227', '20241226', '20241211', '20241112', '20241029', '20241028', '20241025', '20241024', '20241014', '20240919', '20240829', '20240821', '20240724', '20240716', '20240715', '20240709', '20240219', '20240208', '20240207', '20240205', '20240202', '20240201', '20240124', '20240123', '20240122', '20240119', '20240118', '20240117', '20240116', '20231024', '20231018', '20231009', '20230925']"
