date,open,high,low
2025-05-09 19:57:00-04:00,116.39,116.39,116.36
2025-05-09 19:54:00-04:00,116.38,116.4,116.37
2025-05-09 19:51:00-04:00,116.36,116.4,116.34
2025-05-09 19:48:00-04:00,116.37,116.37,116.35
2025-05-09 19:45:00-04:00,116.39,116.39,116.36
2025-05-09 19:42:00-04:00,116.38,116.4,116.37
2025-05-09 19:39:00-04:00,116.38,116.39,116.37
2025-05-09 19:36:00-04:00,116.37,116.41,116.36
2025-05-09 19:33:00-04:00,116.36,116.39,116.35
2025-05-09 19:30:00-04:00,116.4,116.4,116.35
2025-05-09 19:27:00-04:00,116.4,116.4,116.39
2025-05-09 19:24:00-04:00,116.38,116.4,116.37
2025-05-09 19:21:00-04:00,116.38,116.38,116.37
2025-05-09 19:18:00-04:00,116.4,116.4,116.37
2025-05-09 19:15:00-04:00,116.39,116.4,116.38
2025-05-09 19:12:00-04:00,116.39,116.4,116.38
2025-05-09 19:09:00-04:00,116.39,116.39,116.38
2025-05-09 19:06:00-04:00,116.36,116.4,116.35
2025-05-09 19:03:00-04:00,116.36,116.36,116.35
2025-05-09 19:00:00-04:00,116.36,116.37,116.35
2025-05-09 18:57:00-04:00,116.39,116.39,116.36
2025-05-09 18:54:00-04:00,116.41,116.41,116.38
2025-05-09 18:51:00-04:00,116.4,116.41,116.39
2025-05-09 18:48:00-04:00,116.4,116.4,116.37
2025-05-09 18:45:00-04:00,116.39,116.4,116.36
2025-05-09 18:42:00-04:00,116.39,116.39,116.38
2025-05-09 18:39:00-04:00,116.39,116.39,116.38
2025-05-09 18:36:00-04:00,116.38,116.4,116.37
2025-05-09 18:33:00-04:00,116.38,116.38,116.37
2025-05-09 18:30:00-04:00,116.36,116.38,116.35
2025-05-09 18:27:00-04:00,116.37,116.37,116.36
2025-05-09 18:24:00-04:00,116.37,116.37,116.36
2025-05-09 18:21:00-04:00,116.37,116.37,116.35
2025-05-09 18:18:00-04:00,116.34,116.38,116.34
2025-05-09 18:15:00-04:00,116.34,116.35,116.33
2025-05-09 18:12:00-04:00,116.34,116.34,116.33
2025-05-09 18:09:00-04:00,116.34,116.35,116.33
2025-05-09 18:06:00-04:00,116.37,116.37,116.34
2025-05-09 18:03:00-04:00,116.39,116.39,116.36
2025-05-09 18:00:00-04:00,116.38,116.39,116.37
2025-05-09 17:57:00-04:00,116.39,116.39,116.37
2025-05-09 17:54:00-04:00,116.38,116.39,116.37
2025-05-09 17:51:00-04:00,116.38,116.38,116.36
2025-05-09 17:48:00-04:00,116.38,116.39,116.37
2025-05-09 17:45:00-04:00,116.38,116.38,116.34
2025-05-09 17:42:00-04:00,116.39,116.42,116.35
2025-05-09 17:39:00-04:00,116.39,116.39,116.38
2025-05-09 17:36:00-04:00,116.39,116.41,116.37
2025-05-09 17:33:00-04:00,116.37,116.42,116.34
2025-05-09 17:30:00-04:00,116.34,116.37,116.34
2025-05-09 17:27:00-04:00,116.33,116.34,116.31
2025-05-09 17:24:00-04:00,116.32,116.34,116.32
2025-05-09 17:21:00-04:00,116.34,116.35,116.31
2025-05-09 17:18:00-04:00,116.37,116.37,116.34
2025-05-09 17:15:00-04:00,116.39,116.39,116.37
2025-05-09 17:12:00-04:00,116.39,116.39,116.38
2025-05-09 17:09:00-04:00,116.39,116.4,116.38
2025-05-09 17:06:00-04:00,116.39,116.4,116.39
